r/R,z/R
0,0
0.13,-0.000971784814263
0.26,-0.001942850002621
0.39,-0.002912476472066
0.52,-0.003879946194989
0.65,-0.004844542740897
0.78,-0.005805551806939
0.91,-0.006762261746865
0.92,-0.00683565641015
0.93,-0.006909021119296
0.94,-0.006982355552816
0.95,-0.007055659389354
0.96,-0.00712893230769
0.97,-0.00720217398674
0.98,-0.007275384105555
0.99,-0.007348562343325
1,-0.007421708379379
