r/R,c/R
0,0.14285714
0.13,0.14285714
0.26,0.14285714
0.39,0.14285714
0.52,0.14285714
0.65,0.14285714
0.78,0.14285714
0.83,0.14285714
0.86,0.14285714
0.89,0.14285714
0.91,0.14285714
0.92,0.14285714
0.93,0.14285714
0.939999999999999,0.14285714
0.95,0.14285714
0.959999999999999,0.14285714
0.969999999999999,0.14285714
0.98,0.14285714
0.99,0.14285714
1,0.14285714
