r/R,c/R
0.197,0.146
0.2462,0.1737
0.2954,0.1896
0.3447,0.196
0.3939,0.1965
0.4432,0.1927
0.4924,0.1865
0.5416,0.1786
0.5909,0.1693
0.6401,0.1589
0.6894,0.148
0.7386,0.1368
0.7878,0.1256
0.8371,0.114
0.8863,0.1015
0.9356,0.0865
0.9848,0.0553
