r/R,z/R
0,0.00254660757042236
0.13,0.00210794226853239
0.26,0.00166771440983598
0.39,0.00122625032254774
0.52,0.000783877251262881
0.65,0.000340923114380229
0.78,-0.000102283738974215
0.91,-0.000545414772343027
0.92,-0.000579067630789958
0.93,-0.000610641808713018
0.94,-0.00063412838561777
0.95,-0.000640554107455069
0.96,-0.00063565364202805
0.97,-0.000624760988170396
0.98,-0.000609557881577278
0.99,-0.000590565484031593
1,-0.000567784269472867
