r/R,twist (deg)
0,0
0.285638877457587,-0.134542
0.36806514180642,-1.382871
0.450491406155253,-3.75998100000001
0.532917670504086,-6.20526899999999
0.615343934852918,-8.43241800000001
0.67029477775214,-9.719233
0.725245620651362,-10.880146
0.780196463550584,-11.927456
0.807671885000195,-12.4157
0.835147306449806,-12.889761
0.862622727899417,-13.35949
0.890098149349028,-13.838789
0.917573570798639,-14.345886
0.945048992248249,-14.889
0.97252441369786,-15.465
1,-16
