r/R,y/R
0,0.069855028136755
0.285638877457587,0.069855028136755
0.36806514180642,0.081587186958099
0.450491406155253,0.085497181214087
0.532917670504086,0.085709489290713
0.615343934852918,0.083016249568705
0.67029477775214,0.079601834984487
0.725245620651362,0.074489373413672
0.780196463550584,0.067232037572309
0.807671885000195,0.0625042978428
0.835147306449806,0.056802543432734
0.862622727899417,0.049922104432648
0.890098149349028,0.04163068164927
0.917573570798639,0.031619209561798
0.945048992248249,0.019098176439793
0.97252441369786,0.002587085683695
1,-0.020782412210519
