r/R,c/R
0,0.156541631335564
0.285638877457587,0.156541631335564
0.36806514180642,0.185434267994052
0.450491406155253,0.194287299382028
0.532917670504086,0.192936970339129
0.615343934852918,0.184046627328824
0.67029477775214,0.175143920378866
0.725245620651362,0.164839835052956
0.780196463550584,0.15388690116426
0.807671885000195,0.148066507884374
0.835147306449806,0.1418017491183
0.862622727899417,0.134905418334448
0.890098149349028,0.127166141620521
0.917573570798639,0.118302570660877
0.945048992248249,0.107615730733836
0.97252441369786,0.093724157648913
1,0.074
