r/R,c/R
0.0,0.0651162790697674
0.13,0.0651162790697674
0.26,0.0651162790697674
0.39,0.0651162790697674
0.52,0.0651162790697674
0.65,0.0651162790697674
0.78,0.0651162790697674
0.83,0.0651162790697674
0.86,0.0651162790697674
0.89,0.0651162790697674
0.91,0.0651162790697677
0.92,0.0650689064648051
0.93,0.0648064578578047
0.939999999999999,0.0637587209302308
0.95,0.061186302819045
0.959999999999999,0.057828596387285
0.969999999999999,0.0542558139534883
0.98,0.0506356589147286
0.99,0.0470155038759689
1.0,0.0433953488372093
