r/R,y/R
0.0,0.016
0.13,0.016
0.26,0.016
0.39,0.016
0.52,0.016
0.65,0.016
0.78,0.016
0.91,0.016
0.92,0.016
0.93,0.016
0.939999999999999,0.016
0.95,0.016
0.959999999999999,0.016
0.969999999999999,0.016
0.98,0.016
0.99,0.016
1.0,0.016
