r/R,z/R
0,0.00
0.13,0.00
0.26,0.00
0.39,0.00
0.52,0.00
0.65,0.00
0.78,0.00
0.91,0.00
0.92,0.00
0.93,0.00
0.94,0.00
0.95,0.00
0.96,0.00
0.97,0.00
0.98,0.00
0.99,0.00
1,0.00
