r/R,z/R
0,-0.004033446819646
0.285638877457587,-0.004033446819646
0.36806514180642,-0.00445184253748
0.450491406155253,-0.005741022282402
0.532917670504086,-0.006190289383777
0.615343934852918,-0.005461893980811
0.67029477775214,-0.004301782775691
0.725245620651362,-0.002646036947958
0.780196463550584,-0.00050719627996
0.807671885000195,0.000839549967983
0.835147306449806,0.002471062473998
0.862622727899417,0.004470349981369
0.890098149349028,0.006930356345776
0.917573570798639,0.009972588871037
0.945048992248249,0.013898815606017
0.97252441369786,0.019266864537325
1,0.027149017918374
