r/R,twist (deg)
0.0,9.0
0.13,7.44
0.26,5.88
0.39,4.32
0.52,2.76
0.65,1.19999999999999
0.75,0
0.78,-0.359999999999999
0.91,-1.92
0.92,-2.04
0.93,-2.16
0.939999999999999,-2.27999999999999
0.95,-2.4
0.959999999999999,-2.51999999999999
0.969999999999999,-2.63999999999999
0.98,-2.76
0.99,-2.87999999999999
1.0,-3.0
