r/R,twist (deg)
0,0
0.13,-1.56
0.26,-3.12
0.39,-4.68
0.52,-6.24
0.65,-7.8
0.75,-9
0.78,-9.36
0.91,-10.92
0.92,-11.04
0.93,-11.16
0.939999999999999,-11.28
0.95,-11.4
0.959999999999999,-11.52
0.969999999999999,-11.64
0.98,-11.76
0.99,-11.88
1,-12
