x/c,y/c
1.00E+00,0.00E+00
9.94E-01,1.89E-03
9.84E-01,4.99E-03
9.73E-01,8.45E-03
9.60E-01,1.23E-02
9.45E-01,1.65E-02
9.30E-01,2.06E-02
9.15E-01,2.44E-02
9.00E-01,2.82E-02
8.85E-01,3.19E-02
8.69E-01,3.54E-02
8.54E-01,3.87E-02
8.39E-01,4.19E-02
8.23E-01,4.50E-02
8.07E-01,4.79E-02
7.91E-01,5.07E-02
7.76E-01,5.33E-02
7.60E-01,5.58E-02
7.44E-01,5.82E-02
7.28E-01,6.04E-02
7.12E-01,6.25E-02
6.97E-01,6.45E-02
6.81E-01,6.63E-02
6.65E-01,6.81E-02
6.49E-01,6.97E-02
6.33E-01,7.12E-02
6.17E-01,7.25E-02
6.01E-01,7.38E-02
5.85E-01,7.49E-02
5.69E-01,7.59E-02
5.54E-01,7.68E-02
5.38E-01,7.77E-02
5.22E-01,7.83E-02
5.06E-01,7.89E-02
4.90E-01,7.94E-02
4.74E-01,7.98E-02
4.58E-01,8.01E-02
4.42E-01,8.02E-02
4.26E-01,8.03E-02
4.10E-01,8.03E-02
3.94E-01,8.01E-02
3.78E-01,7.99E-02
3.62E-01,7.95E-02
3.46E-01,7.91E-02
3.30E-01,7.85E-02
3.14E-01,7.78E-02
2.98E-01,7.69E-02
2.82E-01,7.60E-02
2.66E-01,7.48E-02
2.50E-01,7.36E-02
2.35E-01,7.22E-02
2.19E-01,7.06E-02
2.03E-01,6.88E-02
1.87E-01,6.68E-02
1.71E-01,6.46E-02
1.56E-01,6.21E-02
1.40E-01,5.93E-02
1.24E-01,5.62E-02
1.09E-01,5.27E-02
9.38E-02,4.86E-02
7.89E-02,4.39E-02
6.41E-02,3.85E-02
4.96E-02,3.25E-02
3.55E-02,2.57E-02
2.19E-02,1.82E-02
9.42E-03,1.03E-02
2.84E-03,4.85E-03
5.55E-04,2.02E-03
1.20E-06,5.35E-05
1.06E-03,-1.48E-03
4.08E-03,-2.29E-03
0.00E+00,0.00E+00
0.00E+00,0.00E+00
5.15E-03,-3.15E-03
6.29E-03,-3.13E-03
0.0087665,-0.002934
0.0122964,-0.0026117
0.0167836,-0.0021766
0.022236,-0.0016319
0.0287479,-0.000971
0.0365241,-0.0001765
0.0459629,0.000787
0.0579049,0.001993
0.0745586,0.0036214
0.0936736,0.0053207
0.1057663,0.0062301
0.1151948,0.0068094
0.1235112,0.0072006
0.1316024,0.0074638
0.1404705,0.0076421
0.1518624,0.0078144
0.1642431,0.0080447
0.1764325,0.0082974
0.1890609,0.0085613
0.2025572,0.0088247
0.2172892,0.0090678
0.2334431,0.0092503
0.2493785,0.0093133
0.2642604,0.0092647
0.2786038,0.0091255
0.2927591,0.0089066
0.3069885,0.0086136
0.3215057,0.00825
0.3364834,0.0078193
0.3519796,0.0073295
0.3673527,0.006811
0.3824265,0.0062761
0.3972979,0.0057265
0.4120455,0.0051636
0.4267336,0.0045889
0.4414153,0.0040038
0.4561357,0.0034098
0.4709334,0.0028087
0.4858409,0.0022024
0.5008853,0.0015933
0.5160881,0.0009841
0.5314642,0.0003781
0.5470211,-0.0002209
0.5627572,-0.0008085
0.5786602,-0.0013794
0.5946764,-0.0019268
0.6105986,-0.0024402
0.6264107,-0.0029173
0.6421509,-0.0033577
0.6578562,-0.0037608
0.6735626,-0.0041255
0.6893056,-0.0044505
0.7051208,-0.0047341
0.7210421,-0.0049742
0.7369647,-0.0051668
0.7527485,-0.0053089
0.7684032,-0.0053998
0.783965,-0.0054389
0.7994918,-0.0054252
0.8150635,-0.0053566
0.8307858,-0.0052296
0.8466844,-0.0050402
0.8622318,-0.0047946
0.8772244,-0.004501
0.8915959,-0.0041674
0.9053173,-0.003801
0.9183867,-0.0034087
0.9308211,-0.0029961
0.9426494,-0.002568
0.953907,-0.0021284
0.9646316,-0.0016803
0.9748615,-0.0012262
0.9846337,-0.0007682
0.993983,-0.0003078
1,0
