x/c,y/c
1,-0.0012984
0.9939833,0.0010003
0.9835761,0.0047927
0.9715926,0.0090679
0.9578267,0.0138587
0.9425497,0.0190262
0.9271964,0.024062
0.9117147,0.0289798
0.8959954,0.0338082
0.8804187,0.0384295
0.8648096,0.0428996
0.8490596,0.0472492
0.833184,0.0514717
0.8172541,0.0555453
0.8013117,0.0594572
0.78536,0.0632058
0.7693812,0.0667943
0.7533635,0.0702245
0.7373051,0.0734956
0.7212116,0.0766054
0.7050891,0.079552
0.6889418,0.0823337
0.6727724,0.0849482
0.6565817,0.0873915
0.6403688,0.0896601
0.6241318,0.0917524
0.607871,0.0936695
0.5915889,0.0954122
0.5752901,0.0969806
0.5589775,0.0983736
0.542651,0.0995903
0.5263084,0.100632
0.5099491,0.101503
0.4935761,0.1022075
0.4771953,0.1027487
0.460811,0.1031266
0.4444236,0.1033414
0.4280304,0.1033944
0.4116299,0.10329
0.3952251,0.1030331
0.378823,0.1026275
0.3624294,0.1020733
0.3460431,0.1013696
0.3296561,0.100517
0.3132571,0.0995294
0.296838,0.0984264
0.280396,0.097227
0.2639376,0.0959337
0.2474876,0.0945359
0.2310902,0.0930248
0.2148046,0.0913801
0.1986657,0.0895236
0.1826502,0.0873645
0.1667776,0.0848406
0.1511671,0.0818695
0.1358282,0.0783199
0.1205509,0.0741222
0.10522,0.0693664
0.0900028,0.0642077
0.0751694,0.0586445
0.0608573,0.0525417
0.0472524,0.0457457
0.0346103,0.0381153
0.0231335,0.0294932
0.013061,0.0198407
0.0055057,0.0106101
0.0018044,0.0052137
0.0004356,0.0023296
0.0000098,0.0002813
0.0002832,-0.0015219
0.0015858,-0.0031023
0.0041369,-0.0041428
0.0101178,-0.0046926
0.0139814,-0.0048874
0.0167715,-0.0050134
0.0192131,-0.0051141
0.0215,-0.0052007
0.0237273,-0.0052783
0.0259589,-0.0053496
0.0282517,-0.0054164
0.0306698,-0.0054803
0.0333019,-0.0055425
0.0362993,-0.0056047
0.0399923,-0.0056698
0.0455388,-0.0057466
0.0552693,-0.0058323
0.0619514,-0.0058589
0.0679248,-0.0058601
0.074197,-0.0058379
0.0818119,-0.0057782
0.0936621,-0.0056119
0.1055149,-0.0053571
0.1159961,-0.0050648
0.12739,-0.0046841
0.1417285,-0.0041248
0.1558146,-0.0035028
0.1684979,-0.0028914
0.1810104,-0.0022496
0.1940753,-0.0015474
0.2083186,-0.0007556
0.2241491,0.0001418
0.2398536,0.0010347
0.2550501,0.0018871
0.2702736,0.0027164
0.2858667,0.0035262
0.3020126,0.0043076
0.3184178,0.0050266
0.334609,0.0056568
0.3507739,0.0062099
0.3670461,0.0066929
0.3834745,0.0071084
0.4000217,0.0074565
0.4165925,0.0077366
0.4331683,0.0079503
0.4497222,0.0080995
0.4662392,0.0081865
0.4827368,0.0082145
0.4992332,0.0081867
0.5157396,0.0081066
0.5322603,0.0079772
0.548792,0.0078018
0.5653267,0.0075831
0.5818579,0.0073235
0.5983843,0.0070249
0.6149092,0.0066894
0.6314409,0.0063189
0.6479922,0.0059151
0.6645608,0.0054805
0.6810962,0.0050192
0.6975925,0.004534
0.7140587,0.0040276
0.730511,0.0035022
0.7469731,0.0029596
0.763476,0.0024015
0.7800206,0.0018303
0.7964676,0.0012578
0.8127921,0.0006962
0.8290286,0.0001555
0.8452485,-0.0003557
0.8615609,-0.0008294
0.8780387,-0.0012548
0.8942813,-0.0016073
0.9102995,-0.0018735
0.9264343,-0.0020434
0.9426128,-0.0020987
0.9575284,-0.002041
0.9709276,-0.0018999
0.9828983,-0.0017025
0.9936286,-0.0014684
1,-0.0012984
