x/c,y/c
1,-0.0004697
0.989801,0.0031041
0.9738617,0.0085166
0.9572698,0.0139577
0.9401225,0.0193762
0.9225471,0.0247155
0.9046568,0.0299291
0.886524,0.0349869
0.8681901,0.0398738
0.8496935,0.0445787
0.8310723,0.0490904
0.8123564,0.0533964
0.7935622,0.0574871
0.7746958,0.0613592
0.7557632,0.0650137
0.736774,0.0684508
0.7177388,0.0716686
0.6986659,0.0746642
0.6795607,0.0774353
0.6604266,0.0799797
0.641265,0.0822953
0.6220764,0.0843815
0.6028628,0.0862391
0.5836282,0.087869
0.5643777,0.0892702
0.5451147,0.0904411
0.5258407,0.0913804
0.5065565,0.0920884
0.4872638,0.0925653
0.4679648,0.0928117
0.4486626,0.0928281
0.4293611,0.0926155
0.4100643,0.0921745
0.3907753,0.0915058
0.3714959,0.0906125
0.3522308,0.0895071
0.332992,0.088205
0.3138032,0.0867241
0.2947176,0.0850882
0.2758252,0.0833252
0.2572434,0.0814363
0.239092,0.0793943
0.2214762,0.077177
0.2044783,0.0747585
0.1881458,0.072123
0.1725184,0.0693266
0.1576817,0.0664721
0.1437422,0.0636406
0.1308001,0.0608485
0.1189112,0.058105
0.1080691,0.0554208
0.0982201,0.0527953
0.0892811,0.0502234
0.0811616,0.0476972
0.0737735,0.0452141
0.0670346,0.0427799
0.0608734,0.040395
0.0552266,0.0380559
0.0500341,0.0357692
0.0452441,0.0335423
0.0408167,0.0313688
0.0367159,0.0292429
0.0329085,0.0271636
0.0293634,0.0251328
0.026051,0.0231563
0.0229473,0.0212367
0.0200381,0.019365
0.0173106,0.0175317
0.0147502,0.0157337
0.0123473,0.0139652
0.0101056,0.0122052
0.008004,0.0104636
0.0060465,0.0087297
0.0042244,0.0069988
0.0025247,0.005281
0.0011812,0.0033784
0.0002148,0.0013475
0.0001363,-0.0008081
0.0016009,-0.0023966
0.0037757,-0.0031146
0.0061614,-0.0033631
0.0086719,-0.0034995
0.0113078,-0.0036253
0.0140801,-0.0037395
0.0170005,-0.0038409
0.0200822,-0.0039283
0.023339,-0.0040005
0.026786,-0.0040562
0.030439,-0.0040944
0.0343147,-0.0041142
0.0384308,-0.0041151
0.0428059,-0.0040974
0.0474601,-0.0040622
0.052417,-0.0040117
0.0577065,-0.00395
0.0633712,-0.003882
0.0694697,-0.0038069
0.0760751,-0.0037208
0.0832774,-0.0036183
0.0911879,-0.0034912
0.0999406,-0.0033272
0.1096905,-0.0031082
0.1205971,-0.0028109
0.1327942,-0.0024183
0.1463438,-0.0019182
0.161184,-0.0013075
0.1771262,-0.0005962
0.1939515,0.000195
0.2115311,0.0010471
0.229761,0.001945
0.2485147,0.0028697
0.2676579,0.0037993
0.2870664,0.004711
0.3066438,0.0055825
0.3263325,0.0063934
0.346119,0.0071277
0.3660103,0.0077845
0.3860079,0.0083661
0.4061037,0.008875
0.4262799,0.0093136
0.4465116,0.0096828
0.4667762,0.0099827
0.4870571,0.0102134
0.5073442,0.0103754
0.5276339,0.0104694
0.5479266,0.0104967
0.5682247,0.0104586
0.5885312,0.0103566
0.6088502,0.0101921
0.6291861,0.009967
0.6495395,0.0096867
0.6699013,0.0093575
0.6902531,0.0089859
0.7105665,0.0085789
0.7308047,0.0081426
0.7509272,0.0076796
0.7708957,0.0071912
0.7906746,0.0066792
0.8102318,0.0061452
0.8295391,0.005591
0.8485722,0.0050184
0.8673107,0.0044291
0.8857384,0.0038249
0.9038424,0.0032075
0.9216136,0.0025785
0.9390459,0.0019393
0.9561359,0.0012914
0.9728827,0.0006361
0.9892875,-0.0000255
1,-0.0004697
