Alpha,Cl,Cd,Cm
-18.0,-0.4421672409631786,0.21311082939577022,-0.028126665865784498
-17.0,-0.4215257804173819,0.19956071080407142,-0.028980031326099043
-16.0,-0.4059501246577184,0.18941438076386674,-0.029770312251963537
-15.0,-0.39404950901251606,0.17980828296348184,-0.029721413999958177
-14.0,-0.38572218579459666,0.17045959180660764,-0.02882273837002789
-13.0,-0.3808972928155821,0.16130223275147765,-0.027226826577875632
-12.0,-0.3481245394986104,0.14821208218257337,-0.03440533851848014
-11.0,-0.3017826227502096,0.1334704882920864,-0.04574112329750716
-10.0,-0.2544511764594729,0.11889860489161774,-0.05729737242298304
-9.0,-0.20672409224427585,0.10525305798342886,-0.06915339442280072
-8.0,-0.15900925602711077,0.09216224086705255,-0.08334674045847286
-7.0,-0.04026365534237669,0.061003396738854083,-0.09927262380006409
-6.0,0.006524048811590014,0.045086570893160864,-0.11532646425376465
-5.0,0.09117942329669897,0.027158894280226255,-0.13494047840884704
-4.0,0.17580591588099873,0.015795445933061546,-0.13943144146638284
-3.0,0.2787255247540002,0.02211866787998503,-0.14615005028493697
-2.0,0.38342457338304853,0.0171799626116148,-0.14479857052361966
-1.0,0.4955471786540106,0.011428408256698767,-0.14139669727574813
0.0,0.6531419313237488,0.008301888688139957,-0.15268145262668387
1.0,0.7606272356423399,0.008168667068230186,-0.15193049826655158
2.0,0.8652667283316987,0.008129327333411701,-0.1505321102088432
3.0,0.958869715297103,0.008090072374846732,-0.14641605093506688
4.0,1.0449083123662912,0.008283755922295353,-0.14066553997640732
5.0,1.1065253489196372,0.009068586798652398,-0.129744961584882
6.0,1.103861684989363,0.01193131604359602,-0.10667056094660582
7.0,1.0928835750655075,0.0178982779599039,-0.08626835338586951
8.0,1.1361277776048593,0.02209342101958656,-0.07494164644890608
9.0,1.1719478817897315,0.028904190908651674,-0.06316052457762775
10.0,1.2739541751347054,0.05244632633837394,-0.06215094282660822
12.0,1.1624072717915677,0.07898279702231042,-0.033487567315830705
13.0,1.0865053342103381,0.09748349454738997,-0.03295086777617668
14.0,1.0168952098235513,0.12294177189063855,-0.04562914457785696
15.0,0.9751389481422696,0.15662973379401487,-0.06744850272758841
16.0,0.9742074985931887,0.18372536274940865,-0.08097936880726618
17.0,0.9873737078525906,0.20439359723577152,-0.09098734103756521
18.0,1.0069202833378368,0.22272155279950398,-0.10006103208852148
19.0,1.029961027139017,0.23957654747879345,-0.10870342488672416
20.0,1.0548868109082674,0.2552627517616,-0.1171410251189781
