Alpha,Cl,Cd,Cm
-20.0,-0.45803638741905645,0.2295721272470709,-0.02146689745275954
-19.0,-0.43444752742834075,0.21954690706301336,-0.024960044437083953
-18.0,-0.41321226726197097,0.20964783586273772,-0.027486956840487707
-17.0,-0.39513608796760463,0.19997535756816287,-0.02892606068685146
-16.0,-0.38077789135134865,0.19060000063762658,-0.029264392896302074
-15.0,-0.370139604260214,0.18147899611267346,-0.028629620228327386
-14.0,-0.363059235985219,0.17257867281846148,-0.02727613415975421
-13.0,-0.35914125948047854,0.1638099110762524,-0.025473331071126416
-12.0,-0.3150969848882488,0.14964288089304245,-0.0364162817235908
-11.0,-0.2709042653601221,0.13577190457089752,-0.04852770860049138
-10.0,-0.2273084363052864,0.12261624456181311,-0.061006603638794336
-8.0,-0.11691879064817547,0.09285586521897754,-0.08267492494017739
-7.0,-0.08277944093295674,0.08184400261673341,-0.08961139549226114
-6.0,-0.02798420997925211,0.06920530488168669,-0.1030850130777578
-5.0,0.06426009066703454,0.054724046892075114,-0.12211001538463943
-4.0,0.1921615715254045,0.03885004151776342,-0.14051078828855976
-3.0,0.3114053664528216,0.026939123268021923,-0.14718356144754624
-2.0,0.4457804738651898,0.0187054870215655,-0.15177507540971413
-1.0,0.5543913736921329,0.013823046474793802,-0.1481614377519367
0.0,0.6634257192352229,0.011236121307995405,-0.14638927610073924
2.0,0.8994003964120348,0.008373519426275082,-0.14891205321069684
3.0,0.9884846811669051,0.008590541311371328,-0.14377335593870189
4.0,1.0328081298358103,0.009907343548250512,-0.1291842957265478
5.0,1.0396177227469003,0.013270842451475673,-0.1091865301482835
6.0,1.1058190228431595,0.015112013801787064,-0.10191690268676355
7.0,1.181207363248297,0.016559351932187178,-0.09655708379696085
9.0,1.2824483690608066,0.023375838055812396,-0.07987482096431002
10.0,1.32233790614913,0.028303796716512078,-0.07006633489655507
11.0,1.328515559478697,0.036113811704572785,-0.05828983766569008
12.0,1.336255109819475,0.04646047661798695,-0.048401907521583645
13.0,1.3604431307745704,0.05586034052843023,-0.0420980393446922
14.0,1.1793406883930742,0.0732290881471575,-0.032641067693579655
15.0,1.105679465569851,0.09291775940071059,-0.037548720397687606
16.0,1.0421935346800892,0.11585577765856628,-0.05046433692436496
18.0,0.8734836939316493,0.19000784016140276,-0.09437049034502887
20.0,0.8621793399030651,0.2370881355999849,-0.11398369510766583
