x/c,y/c
1,-0.0012205
0.9929797,0.001451
0.9810869,0.0057832
0.9677589,0.0105093
0.953117,0.0155458
0.9379806,0.0205833
0.9228746,0.0254418
0.9075382,0.0302045
0.8922151,0.0347946
0.876887,0.0392189
0.8614598,0.0435039
0.8459283,0.0476485
0.8303386,0.0516406
0.8147227,0.0554735
0.7990866,0.059148
0.7834207,0.0626664
0.7677182,0.0660293
0.7519784,0.0692355
0.7362052,0.0722842
0.7204026,0.075175
0.704573,0.0779083
0.6887179,0.0804833
0.6728385,0.082899
0.6569358,0.0851541
0.6410109,0.0872479
0.6250654,0.0891804
0.6091012,0.0909515
0.5931201,0.092561
0.5771239,0.0940087
0.5611138,0.0952942
0.5450905,0.096418
0.5290552,0.0973822
0.5130097,0.0981888
0.4969567,0.0988395
0.4808983,0.0993341
0.4648363,0.0996722
0.4487718,0.0998539
0.4327056,0.0998808
0.4166384,0.0997547
0.4005708,0.0994775
0.3845039,0.0990512
0.36844,0.098478
0.3523836,0.0977601
0.3363382,0.0968995
0.3203022,0.0958975
0.3042676,0.0947556
0.2882211,0.0934896
0.2721541,0.0921329
0.2560691,0.0907207
0.2399796,0.0892901
0.2239116,0.0878628
0.2078948,0.0863755
0.1919433,0.0847365
0.1760607,0.0828586
0.1602718,0.0806653
0.1446334,0.0780576
0.1292111,0.0748887
0.1140414,0.0709948
0.09897,0.0663509
0.0839329,0.0611683
0.0691143,0.0555493
0.0547115,0.049391
0.0409666,0.0424464
0.0282385,0.034409
0.0169191,0.0249574
0.0075585,0.0142478
0.0021589,0.0060233
0.0003994,0.0023281
0.0000073,0.0001802
0.0003466,-0.0017195
0.0022334,-0.0035587
0.0076759,-0.0044855
0.0136808,-0.0046147
0.0174298,-0.0046639
0.0206737,-0.0046887
0.0237457,-0.0046981
0.0268084,-0.0046948
0.0299917,-0.004679
0.033451,-0.0046488
0.0374487,-0.0045989
0.0426279,-0.0045138
0.0518176,-0.0043195
0.0612434,-0.0040794
0.0687192,-0.0038599
0.0763552,-0.0036075
0.0855631,-0.0032629
0.0987123,-0.0026892
0.1103981,-0.0020993
0.1208927,-0.0015124
0.1316008,-0.0008649
0.1435634,-0.000092
0.1580394,0.0008998
0.1721259,0.0019098
0.1847063,0.0028387
0.1966416,0.0037351
0.2083855,0.0046239
0.2202463,0.0055213
0.2324815,0.0064387
0.2453356,0.0073846
0.2590467,0.0083631
0.2738024,0.0093681
0.2895609,0.0103707
0.3053322,0.0112901
0.3209761,0.0121189
0.3367831,0.0128732
0.3528356,0.013555
0.3688347,0.0141513
0.3847826,0.0146648
0.4007706,0.0151005
0.4168374,0.0154605
0.4329702,0.0157456
0.4491204,0.0159578
0.4652724,0.0161001
0.4814176,0.0161763
0.4975422,0.01619
0.5136519,0.0161438
0.5297553,0.0160389
0.5458604,0.0158763
0.5619743,0.0156569
0.5781033,0.0153819
0.5942501,0.0150563
0.6103934,0.014687
0.6265275,0.0142808
0.6426667,0.0138439
0.6588015,0.013383
0.6748828,0.0129029
0.6908833,0.0124049
0.7067775,0.01189
0.722542,0.0113596
0.7381553,0.0108147
0.7535979,0.0102568
0.7688529,0.009687
0.7839054,0.0091067
0.7987432,0.008517
0.8133561,0.0079191
0.8277361,0.0073142
0.8418773,0.0067033
0.8557756,0.0060874
0.8694285,0.0054675
0.882835,0.0048442
0.8959954,0.0042186
0.908911,0.0035911
0.9215843,0.0029625
0.9340184,0.0023334
0.9462169,0.0017042
0.9581842,0.0010755
0.9699249,0.0004476
0.981444,-0.0001792
0.9927469,-0.0008044
1,-0.0012205
