Alpha,Cl,Cd,Cm
-20.0,-0.4786216410647047,0.23284113315763239,-0.023319350086613917
-19.0,-0.4569501732570662,0.22304620463078045,-0.026756101273777592
-18.0,-0.4380436119520552,0.21337608440909822,-0.029207387406189216
-17.0,-0.4224231075614888,0.2038648481952651,-0.030579061990280786
-16.0,-0.41027585515869514,0.19447202852814843,-0.030911423644121035
-15.0,-0.40174852766800745,0.18529187402434255,-0.030373662652691653
-14.0,-0.3965046479717822,0.17620691567414606,-0.029176179515697245
-13.0,-0.3545623690838565,0.1617444090276178,-0.03961372340088941
-12.0,-0.3109406081709074,0.14686061505033746,-0.0506172581124946
-11.0,-0.15079764743126303,0.1174010109585848,-0.07716337504461168
-9.0,-0.18094685737342042,0.09832498603400902,-0.08423811034220044
-8.0,-0.1386712172030003,0.08527541982823059,-0.094075830812582
-7.0,-0.09622216274581578,0.07176312018673041,-0.10788041859961903
-6.0,-0.018023338987861133,0.05476375305073136,-0.131126626304771
-5.0,0.07850513260836872,0.038394872200618595,-0.144079589814734
-2.0,0.3681317435721349,0.014520068711634802,-0.14077705970200602
-1.0,0.49223179254272115,0.011398258925385466,-0.14293056452288594
0.0,0.5978257107621789,0.010520652835681873,-0.14188732582065225
1.0,0.7564891745892954,0.00828061771707496,-0.15362769629419626
2.0,0.8540816334197494,0.008202010937928913,-0.1507204610497208
3.0,0.9542587042226855,0.00821380210491314,-0.14845194880399692
4.0,1.037474453392303,0.00831620590092369,-0.1421743579082597
5.0,1.081609523512226,0.009014573731211017,-0.12722889445265384
6.0,1.054835907962803,0.012633800407417472,-0.09983949522620011
7.0,1.0535117772895048,0.018194698736858257,-0.08141650745081504
8.0,1.107292477504734,0.021449123960160875,-0.07244711896350063
9.0,1.1330107711126243,0.02845798200364141,-0.0600824760835914
10.0,1.2288179754316135,0.03929744749747697,-0.057404994993847214
15.0,0.9944185423359593,0.14141056525446236,-0.054817253374269514
16.0,0.9681237893902022,0.17718475367483527,-0.07269665415377267
17.0,0.9738685824061433,0.1983391089865387,-0.08345003076058947
18.0,0.9896765380664869,0.2157843419317291,-0.09254815905422081
19.0,1.0108844612533456,0.23075182836361627,-0.10052088396948777
20.0,1.0322934972396633,0.24556113283971268,-0.10849139724797593
