Alpha,Cl,Cd,Cm
-11.0,-0.34855814753358033,0.1289992566603862,-0.023726771793128803
-10.0,-0.3369062698902443,0.11823971995710872,-0.024310823115241697
-9.0,-0.3341054762791655,0.1085323592343526,-0.022872425434667464
-8.0,-0.3484036353447302,0.10058969359150798,-0.017937503616993398
-7.0,-0.30889548504838993,0.08741328498123463,-0.030662943085424707
-6.0,-0.222501907635474,0.07060932821514367,-0.05469662640792972
-5.0,-0.11037170893713069,0.05445990183111655,-0.07566578422427309
-4.0,0.035094446254895925,0.040947973085348616,-0.09106374138306543
-3.0,0.1358275148758785,0.014480531764640623,-0.08859153346564184
-2.0,0.22997780248034108,0.008150545678436203,-0.08627426653256404
-1.0,0.3286543135344687,0.00510433746948284,-0.0810240725056458
0.0,0.40787845665764966,0.012600022462890137,-0.07305518890683997
1.0,0.49597593888034824,0.01149985077705625,-0.06803140593416375
2.0,0.6648104462090341,0.009917052371914769,-0.08215816922491842
3.0,0.7557430478430254,0.010571758996323635,-0.07854546126490626
4.0,0.8492695852227824,0.011272468071420924,-0.07555277641457062
5.0,0.9414720582092433,0.011945168060543902,-0.07232725197067572
6.0,0.995071986071955,0.014991643140803701,-0.06216147133078392
7.0,1.0489989305458365,0.018954587663604694,-0.050763411941464755
10.0,1.1483620044491327,0.03601866392347208,-0.015575916062121692
11.0,1.1080229399876602,0.047221850008047135,-0.001158337695017319
12.0,1.0386000867811525,0.06341718841029213,0.0046771933098547075
13.0,0.9570478930428432,0.08675851815748883,-0.0023073149286043106
14.0,0.8725287754562184,0.11448577721246424,-0.018933191849949797
15.0,0.7919761901923182,0.14345800454414234,-0.0394672643971815
16.0,0.919423673251165,0.17623301576746175,-0.05335061925542072
17.0,0.9284936784601203,0.19754252944624695,-0.06369862994978502
18.0,0.9457749350932175,0.21549313268390702,-0.07273515486028363
19.0,0.967933838489558,0.23120741688828367,-0.08087393833095549
20.0,0.9917897883156137,0.24588635158682015,-0.0885223599215283
