Alpha,Cl,Cd,Cm
-180.0,0.0,0.05872724192118873,0.0
-178.21428571428572,0.03263042741126904,0.05977783964996448,0.0714285714285711
-176.42857142857144,0.06526085482253809,0.06292550147785675,0.1428571428571422
-174.64285714285714,0.09789128223380761,0.06815774138857982,0.21428571428571444
-172.85714285714286,0.13052170964507664,0.07545382150307266,0.28571428571428553
-171.07142857142858,0.1631521370563457,0.08478482221250919,0.35714285714285665
-169.2857142857143,0.19578256446761474,0.09611375507066312,0.3845872551332015
-167.5,0.22841299187888378,0.10939570718712428,0.3460553929662038
-165.7142857142857,0.2610434192901533,0.12457801655981555,0.307523530799206
-163.92857142857142,0.2936738467014223,0.14160047766493025,0.2689916686322089
-162.14285714285714,0.3263042741126914,0.1603955765047354,0.23045980646521175
-160.35714285714286,0.35893470152396045,0.18088875419910616,0.1919279442982146
-158.57142857142858,0.3915651289352295,0.20299869809564433,0.18835427153925552
-156.78571428571428,0.42419555634649897,0.2266376592661913,0.19352014613230617
-155.0,0.456825983757768,0.2517117951549071,0.19868602072535674
-150.35714285714286,0.45923528089904525,0.3228914714882129,0.21211729466728824
-145.7142857142857,0.46112822835517725,0.40117414420911973,0.22010334121262723
-141.07142857142858,0.45898010638484704,0.48445869911644546,0.22763561880825006
-136.42857142857144,0.4507254631486891,0.5705066765563046,0.23756627500522287
-131.78571428571428,0.4351870281329348,0.6570013028406384,0.24821644478260074
-127.14285714285714,0.41180534425438137,0.7416086127789475,0.25843823998774595
-122.50000000000001,0.38049516486645213,0.8220390587671473,0.2683923010852458
-117.85714285714286,0.34155873738696974,0.8961079888894962,0.27686523441185656
-113.21428571428572,0.29562517023191076,0.9617934059131907,0.2836101853390967
-108.57142857142857,0.2436014001573086,1.0172894901208098,0.28882267347413637
-103.92857142857143,0.18662772405724215,1.0610544797720765,0.29058712032672496
-99.28571428571428,0.12603452869393533,1.091851650709521,0.29143421008783543
-94.64285714285715,0.06329878948051634,1.1087823173520182,0.28723583584581636
-90.0,4.763367761625938e-17,1.1113099863201095,0.2830374616037973
-85.35714285714285,-0.06329878948051634,1.1087823173520182,0.2748444564542718
-80.71428571428572,-0.12603452869393533,1.091851650709521,0.2666514513047464
-76.07142857142857,-0.18662772405724215,1.0610544797720765,0.25403412911357487
-71.42857142857143,-0.2436014001573086,1.0172894901208098,0.2406123856421041
-66.78571428571428,-0.29562517023191076,0.9617934059131907,0.22468323173344731
-62.14285714285713,-0.34155873738696974,0.8961079888894962,0.2076396731860412
-57.5,-0.380495164866452,0.8220390587671476,0.18962844406013474
-52.857142857142854,-0.41180534425438137,0.7416086127789475,0.17078778300979933
-48.214285714285715,-0.4351870281329348,0.6570013028406384,0.15187326779752933
-43.57142857142857,-0.4507254631486891,0.5705066765563048,0.13284058592616393
-38.92857142857143,-0.45898010638484704,0.48445869911644573,0.11393743258313478
-34.285714285714285,-0.46112822835517725,0.40117414420911957,0.0954660410012263
-29.642857142857146,-0.45923528089904525,0.3228914714882129,0.07878149727536575
-25.0,-0.4568259837577681,0.25171179515490716,0.08353912782208044
-25.0,-0.5840255295380732,0.23614896117771134,0.08353912782208044
-24.5,-0.5767227086558335,0.23223236183009627,0.08068799348705841
-24.000000000000004,-0.569233201333674,0.22803649614773308,0.07781885579862377
-23.5,-0.5616722415381445,0.2235548131425379,0.07495984558468609
-23.0,-0.5543789469248088,0.21826522662557898,0.07195253169353182
-22.5,-0.5477938194928271,0.21320677810437014,0.06875642526971609
-22.0,-0.5399364889082399,0.20855249776958495,0.066122904365313
-21.5,-0.5307744535120746,0.20489587482147767,0.06359772278021622
