Alpha,Cl,Cd,Cm
-20.0,-0.4726659204755951,0.2293329533235561,-0.020065795046481982
-19.0,-0.4485442103032179,0.21899435861986252,-0.023855321748017733
-18.0,-0.42470692355745454,0.20932164368021797,-0.026956920416232755
-17.0,-0.4058488289288786,0.20075041478448344,-0.02933631213063286
-16.0,-0.3914816207394182,0.19154844336390703,-0.03024948433957085
-15.0,-0.3809390422473352,0.18253664986935503,-0.030134558122189552
-14.0,-0.373973619442686,0.17371275946579462,-0.029243942497560745
-13.0,-0.3703454272691768,0.16497947732013232,-0.02774012625067956
-12.0,-0.330718462095755,0.15146070154246885,-0.03758530335080921
-11.0,-0.28468030131982447,0.13712631139647227,-0.04904081883577079
-10.0,-0.23545431959992777,0.12269753656874602,-0.06095309502075521
-8.0,-0.1373378847546748,0.09216964949365532,-0.08516135312807689
-7.0,-0.09259972001204445,0.07886120837189911,-0.0940123688940386
-6.0,-0.022311985310370253,0.0645162726635647,-0.11176511321218073
-5.0,0.07648404483717137,0.04921105487494565,-0.1317512843550637
-3.0,0.29447266631533503,0.023558478405679092,-0.14502776427098532
-2.0,0.4075926012707349,0.017211194352542404,-0.1459451187658424
-1.0,0.5246745151099045,0.013169346345185975,-0.14545776083972442
0.0,0.6392150338088604,0.010878159598916371,-0.1446057250229597
1.0,0.7891364063151673,0.00806582369762716,-0.15373444715321524
2.0,0.8849139533875688,0.008177568108097255,-0.15040242098627057
3.0,0.9814358521134899,0.008302137057790012,-0.14718531075599317
4.0,1.0592143439207822,0.00858174423310643,-0.13960007048740253
5.0,1.0377752016202848,0.011754892512639269,-0.11202302447605841
6.0,1.0878448445397932,0.014169212349518432,-0.10150345147088011
7.0,1.1184401503186099,0.018495283513726056,-0.0886775192048967
8.0,1.1838528693168708,0.021011821581353004,-0.0813983043092306
9.0,1.2299511613985645,0.025028054893364793,-0.07223008910633313
10.0,1.1585938955190944,0.02205064357065653,-0.05098814000509852
11.0,1.2085344314352644,0.03807720537387276,-0.04422821876481585
13.0,1.262700760107757,0.06956938542100659,-0.03458547581610328
14.0,1.1995061479586155,0.08906375522275355,-0.03458685813908381
15.0,1.1322335259079634,0.11599370494573533,-0.04627799340375954
16.0,1.0521034646886214,0.16078962875222727,-0.07402684165218162
17.0,1.0313420927352637,0.19542949875032029,-0.09105104673823844
18.0,1.0405649854256962,0.21715775561517334,-0.10226301899708506
19.0,1.0578496760247365,0.23535336587811062,-0.11208188248277022
20.0,1.0792383638196543,0.251260023217018,-0.12107500730134785
