Alpha,Cl,Cd,Cm
-25.0,-1.107661119590061,0.4428867066494157,0.1043754086835921
-24.5,-1.0823094014823997,0.4307994896085101,0.09785980895554054
-24.000000000000004,-1.0563429304990852,0.41857754224958715,0.09143681718941848
-23.5,-1.0297251112768553,0.40622469232422415,0.08514670225850758
-23.0,-1.002396940127141,0.3939414516350973,0.07886912784590001
-22.5,-0.9751643916857303,0.38199355990653655,0.07254171772167545
-22.0,-0.9482974813555708,0.3703328132910616,0.06635977469796214
-21.5,-0.9215029219756881,0.3589156816487105,0.060318692032305214
-21.0,-0.8946437028246614,0.3476747985120501,0.05437920771472847
-20.5,-0.8677241454707627,0.33650229114622815,0.04858114940456508
-20.0,-0.8407369694210269,0.32545160534055917,0.04288352018910813
-19.5,-0.8137244036353662,0.3145280871054389,0.03729141332209376
-19.0,-0.7867208205292128,0.30372641479958895,0.03180846159677515
-18.5,-0.7597671692082018,0.2930430223252569,0.026439127428128737
-18.0,-0.7329126338799881,0.2824773036736568,0.02118927359874993
-17.5,-0.7062169133019881,0.27203170516372566,0.01606658607154399
-17.0,-0.6797475870007021,0.26171118484765604,0.011079959684887201
-16.5,-0.6535090768465247,0.25149580029353036,0.006224071622280427
-16.0,-0.6274152114291174,0.24133569913463346,0.001492953575870645
-15.5,-0.6016737775713022,0.2312782293676024,-0.0030757861051312965
-14.999999999999998,-0.5764116670060773,0.22133108102819063,-0.007478369690168954
-14.500000000000002,-0.5517583709230335,0.21150794426913738,-0.011695991826377287
-14.0,-0.5287866967505079,0.2012714516249088,-0.015464013546019045
-13.5,-0.5058454927543173,0.19183889864313067,-0.018984642335602146
-13.0,-0.4831387228274581,0.18269839018792183,-0.022523341340801986
-12.5,-0.46110910319320936,0.1736614709927403,-0.025908329504371146
-12.000000000000002,-0.4399172482336491,0.16468358476885145,-0.029094461769523502
-11.5,-0.420048512638892,0.15585993389971292,-0.03195169849839428
-11.0,-0.401765186031226,0.1471881953476708,-0.034363920360141284
-10.5,-0.38607216201025263,0.13881414981168438,-0.035902196248956846
-10.0,-0.37375783518954964,0.13080143199471184,-0.03661506895391546
-9.5,-0.36359223693807396,0.12036248851386515,-0.03913542711244169
-9.0,-0.33763298085312127,0.1105666109235012,-0.04559874380646252
-8.5,-0.30886653130129194,0.1016643143412067,-0.05252363138873297
-8.0,-0.2786373841002502,0.09295518577185148,-0.05978890524665766
-7.499999999999999,-0.25280093918308083,0.08371537956709248,-0.06672362698781242
-7.0,-0.2397796797304096,0.07584627318825622,-0.06943746699016685
-6.5,-0.22729505772537958,0.06927935141653829,-0.07090354702369076
-6.000000000000001,-0.2002356846305944,0.06054968086461929,-0.07989668909442213
-5.0,-0.10840397296193988,0.042074404875746596,-0.10494652041242676
-4.5,-0.04635105090202056,0.029406987408969167,-0.11834576119278829
-4.0,0.01888265359405258,0.019869615207609805,-0.12452342097418555
-3.5,0.08853874382511859,0.011575302511989715,-0.1275289331509734
-3.0000000000000004,0.16046176114789695,0.008810600657669001,-0.12782518019893332
-2.5,0.23210129932380202,0.007600844039090285,-0.12792269093216352
-2.0,0.30304429691143114,0.007160943278855168,-0.1280627921540348
-1.5000000000000002,0.37314506293807886,0.00693581947006048,-0.1283645739085539
-1.0,0.44251001801062656,0.006836113870619124,-0.12874257600812755
-0.5,0.5115676692481823,0.006492690315003543,-0.1294304834767245
0.0,0.5802339595009811,0.006078173377951258,-0.13028765411549964
1.0,0.7085569948545353,0.004925346555789563,-0.12921286823259576
1.5000000000000002,0.77636069723474,0.005172079868578338,-0.12927433416336517
2.0,0.8435207903316173,0.0054846926286648365,-0.12907940951514466
2.5,0.9099370504039949,0.005877833875282032,-0.12857517944493418
3.0000000000000004,0.9718429614422891,0.006631327235311761,-0.12707667275220336
3.5,1.0261426028885605,0.00799556061025396,-0.12420431037551383
4.0,1.0769581212361092,0.009587011529806982,-0.12056186250137688
4.5,1.120463040579006,0.011630402880457599,-0.1152928061248355
5.0,1.177186264626626,0.012694768484348008,-0.11153551478497035
5.5,1.2339304488927958,0.013679400136331362,-0.10750762534860185
6.000000000000001,1.2812754806456677,0.01518578094661924,-0.10138110132740148
6.5,1.3101750574890694,0.017426895903115087,-0.09196129479254145
7.0,1.332318155679352,0.020546616038979528,-0.08215298965801757
7.499999999999999,1.3516278185077921,0.024611939978907364,-0.07286593925481945
8.0,1.3633802013219933,0.0300386958800307,-0.0638565733760301
8.5,1.359492713962194,0.03711764338866914,-0.0558031908655278
9.0,1.3405411905894915,0.04604303021650455,-0.05043162941166207
9.5,1.307660310146112,0.05767790319972116,-0.04947843935148299
10.0,1.2792520921858337,0.07085260726400447,-0.052428613648165937
10.5,1.2513751366572239,0.08610048805224313,-0.059099844095023356
11.0,1.2253462733176628,0.1031262790502378,-0.06814914248629834
11.5,1.2029768798255076,0.12108385672478039,-0.07737806493621105
12.000000000000002,1.1859660510059977,0.1385180837974842,-0.08527270990849373
12.5,1.1773624129340858,0.15481132732370897,-0.0932469826347054
13.0,1.1764415589246007,0.17012630273007645,-0.1009263878479181
13.5,1.1836627399328663,0.1840205815322164,-0.1079471770257283
14.0,1.196883454325637,0.19637314086906812,-0.11434316306328388
14.500000000000002,1.2067871329861597,0.21145594474227267,-0.12191669272684982
14.999999999999998,1.222013099965827,0.22527407734696714,-0.1288651869563152
15.5,1.2389434547448002,0.239144764995147,-0.13585594354025027
16.0,1.2575140119424062,0.25317693366662836,-0.1428544943760268
16.5,1.2784453107706637,0.2663356392241218,-0.14945267225630507
17.0,1.3004998617866619,0.2792806521446923,-0.15596447028078278
17.5,1.323239212752674,0.29220619586712737,-0.16246679377243128
18.0,1.3466786510086066,0.30539670282770465,-0.16902217346149226
18.5,1.3708501015755772,0.3193407689517953,-0.1757791703122188
19.0,1.3956667759366654,0.3329136445619961,-0.18241538810656766
19.5,1.4202871578362088,0.3454763104130048,-0.18881570966933597
20.0,1.4454918199294495,0.3575868614684621,-0.19491508673705507
20.5,1.4708905252287032,0.3705204054769705,-0.20143375722120552
21.0,1.4958155029717382,0.3829611417747092,-0.2077546030502204
21.5,1.520050822953218,0.39593582261477656,-0.21390897042891283
22.0,1.5454429006484491,0.4090424077345892,-0.22050277729099482
22.5,1.570767965898893,0.4222739619895914,-0.22718932163961217
23.0,1.5959974380656305,0.43561948390214195,-0.23394950537450002
23.5,1.62112460035191,0.4491428258139909,-0.2408412894393601
24.000000000000004,1.6461165070207295,0.46279245016917336,-0.24780122957224768
24.5,1.6709505935443567,0.47657566717702227,-0.25482235322793284
25.0,1.6956221841411976,0.4905113099847161,-0.26190505511772183
