x/c,y/c
1,0.0038512193995
0.9960073894357,0.0045367838803
0.9884507454692,0.0059033016808
0.9807079763211,0.0076317665503
0.9732960702164,0.0097963525002
0.9656751942094,0.0118548662113
0.9576154041837,0.0136222264853
0.9493106456909,0.0152765023576
0.9409138862402,0.0169267474928
0.9325471198769,0.0186000031910
0.9242173454431,0.0203002718828
0.9158845742648,0.0219905393267
0.9075278174748,0.0236357976582
0.8991450736914,0.0252400463107
0.8907423374026,0.0268202877055
0.8823276068095,0.0283825246562
0.8739078817531,0.0299277595186
0.8654891610509,0.0314599943905
0.8570754474665,0.0329712304048
0.8486637425902,0.0344564664379
0.8402500479878,0.0359107010335
0.8318293618695,0.0373389326508
0.8233996841856,0.0387411606238
0.8149630136539,0.0401213857182
0.8065193499413,0.0414806079587
0.7980726934804,0.0428178286526
0.7896240449621,0.0441310480832
0.7811744047444,0.0454192665584
0.7727227731352,0.0466814837205
0.7642691504678,0.0479166995446
0.7558135367420,0.0491249140306
0.7473539322412,0.0503051264876
0.7388903369652,0.0514573369156
0.7304237506061,0.0525825456726
0.7219521737799,0.0536787520427
0.7134756061538,0.0547469560508
0.7049960477775,0.0557871583629
0.6965134983179,0.0568003590039
0.6880269577502,0.0577865576409
0.6795374264324,0.0587447545819
0.6710449040313,0.0596759498518
0.6625503912379,0.0605781437339
0.6540528876943,0.0614523359200
0.6455533937584,0.0622975267183
0.6370519097633,0.0631127161039
0.6285464349930,0.0638999034604
0.6200389701635,0.0646570894043
0.6115285149168,0.0653852736273
0.6030160692777,0.0660844564625
0.5945016332464,0.0667546379098
0.5859842071309,0.0673948176114
0.5774657913140,0.0680039962084
0.5689453851049,0.0685841734176
0.5604229891694,0.0691333491891
0.5518986028417,0.0696535235728
0.5433732271456,0.0701416968271
0.5348458613903,0.0705998686686
0.5263165059086,0.0710270390724
0.5177861607256,0.0714232083717
0.5092548255082,0.0717893765913
0.5007225009225,0.0721235436814
0.4921881869435,0.0724257093090
0.4836538829550,0.0726978741899
0.4751185899311,0.0729370379164
0.4665833072308,0.0731452008713
0.4580470354951,0.0733203626719
