Alpha,Cl,Cd,Cm
-20.0,-0.5395672953698837,0.2362179126121273,-0.004736653548174867
-19.0,-0.5114377388595297,0.22548100189806314,-0.010467793549116722
-13.0,-0.3851524437280618,0.1549618886662416,-0.02751968085337039
-12.0,-0.3770405676534695,0.1442446675118762,-0.02638281358420128
-11.0,-0.3756391275633763,0.1344606820364354,-0.02420919558227993
-10.0,-0.3805298880808255,0.12529695044963057,-0.021088853915375915
-9.0,-0.33423048477529577,0.10994355524235105,-0.033739257085814094
-8.0,-0.2906985202135246,0.09541460955259515,-0.0461582754433338
-7.0,-0.2501313301353425,0.08143087177037898,-0.059858316415838414
-6.0,-0.18059281859334353,0.06439663724676443,-0.08274222253084236
-5.0,-0.06451994091205668,0.04649967782574337,-0.1039601775391813
-4.0,0.02670444967349442,0.031121179881784707,-0.1080616996124279
-3.0,0.1299950764679141,0.022840636521153347,-0.10827354174259096
-1.0,0.4078758960060754,0.011672352197208602,-0.11739869046171951
0.0,0.5134032071970066,0.009820367745493113,-0.11572904946901402
1.0,0.6544147580964721,0.007085273912616428,-0.12276271258745877
2.0,0.7541159976406927,0.006945054974076961,-0.11975861170393093
3.0,0.8173745561438942,0.008099145511864006,-0.10856773115248154
4.0,0.8832678006666402,0.009892454444061003,-0.09963537003830292
5.0,0.9643924520111926,0.01111034381957525,-0.0940334748487077
6.0,1.0084775287558858,0.015798772277980738,-0.08156592627921558
7.0,1.0709034925823102,0.01871133985674838,-0.07311324990171629
8.0,1.1107380510480869,0.024416634143290483,-0.06038830643233022
9.0,1.2086608158731842,0.036006265421100775,-0.05823081082527569
10.0,1.2121174522860485,0.04888537830093021,-0.0431134172975947
11.0,1.1454078373048193,0.06353262436841542,-0.026793974431910974
12.0,1.0669928708830947,0.08171150320581913,-0.022813154982946414
13.0,0.9987774859010465,0.10507497926549333,-0.03408253317534428
14.0,0.952060705153945,0.135327404296885,-0.054363420310408216
15.0,0.9305686955633018,0.16773077398607678,-0.07130801891208649
16.0,0.9394272453057195,0.19033176345295338,-0.0818336553254911
17.0,0.9578074127312541,0.20955155938221517,-0.09109895407408321
18.0,0.9807950631035744,0.2270928807022845,-0.09982575491611215
19.0,1.0062893203123129,0.24349083995498186,-0.10830695354639043
20.0,1.0330972191729377,0.25895286132218814,-0.11668614294358
