Alpha,Cl,Cd,Cm
-20.0,-0.37606799619635883,0.22499789745522147,-0.034163314486226365
-19.0,-0.36250891291477844,0.21651131399111478,-0.03475185844726431
-18.0,-0.35288533200955907,0.2082812852759617,-0.03434826622186439
-17.0,-0.3474728481784035,0.2002444021429238,-0.032996871471202255
-16.0,-0.34580494076787155,0.19231184776214322,-0.03109966348075567
-14.0,-0.28511978319107256,0.16800287021682564,-0.044879343296257625
-13.0,-0.23633593572138753,0.15330709600121137,-0.05760071634376852
-12.0,-0.1968286430687704,0.13898043328235163,-0.06800326564074716
-11.0,-0.1618718367059864,0.12531251596397155,-0.07719033134460794
-10.0,-0.13067750780727855,0.11181578561467263,-0.08577988250202086
-9.0,-0.1071034847819096,0.09864123870848172,-0.09395623137018032
-8.0,-0.09448067307779193,0.08543328695201437,-0.10292735745925996
-7.0,-0.13843133532731125,0.07556405239056854,-0.09969274396142404
-6.0,-0.13583377829332313,0.06303167419188274,-0.09671095920326042
-5.0,-0.1586191198455652,0.055426291099829286,-0.07962135732806161
-4.0,-0.12962563614188044,0.04663246984621468,-0.06798102629783405
-1.0,0.14349888620191867,0.025914881431647812,-0.04983228223721196
0.0,0.2882737555356458,0.021731265980566114,-0.05282327220206027
1.0,0.4766129494049757,0.017346307919849382,-0.06679641441859961
2.0,0.9757793644870609,0.014393350781827224,-0.15131637110294735
3.0,1.0481341203580083,0.014146801949781095,-0.14302616130303167
4.0,1.104108024915867,0.014149069544145089,-0.13119944104371226
5.0,1.1146026279613654,0.01515689653563757,-0.11016396292122536
6.0,1.1450130451991252,0.017153569011829437,-0.09514171819347879
7.0,1.1773340342556364,0.019205370273593966,-0.0814786610741279
8.0,1.195262982481552,0.02167001103098048,-0.06631850959224446
9.0,1.2028796223064684,0.025316465788005192,-0.05141852233111375
10.0,1.1614412019360436,0.03398087035426275,-0.0334918744132725
11.0,1.1842974774419985,0.03942735730354288,-0.024722088716737027
12.0,1.201464318761722,0.04599335233645686,-0.017005687568086292
13.0,1.1962350055257451,0.05565046457474883,-0.010113629101993135
14.0,1.166786497642933,0.06959505053853177,-0.00584609910062519
15.0,1.137170253863735,0.08503335564210497,-0.0043581639500959645
16.0,1.146444736768485,0.09473160734585977,-0.0010907546505490046
17.0,1.2379755823055747,0.09434927103876832,0.009682740265708338
18.0,0.9455898473558801,0.11148190119558944,0.01148917495603174
19.0,0.9390752491017679,0.11903792362100551,0.012001139369759554
20.0,0.8574279393132712,0.13961851069702377,0.0014328986213336225
