x/c,y/c
1,-0.0002282
0.9922631,0.0021183
0.9797027,0.0058327
0.9657221,0.0098427
0.95009,0.0141725
0.933354,0.0186296
0.9168431,0.0228522
0.9001012,0.0269665
0.882968,0.031012
0.8660281,0.0348548
0.8490923,0.0385408
0.8319799,0.0421065
0.8147019,0.0455445
0.7973526,0.0488371
0.780009,0.0519756
0.7627029,0.0549618
0.7454335,0.0577914
0.7281786,0.0604223
0.7109066,0.0628054
0.6935831,0.0649171
0.6761895,0.0667931
0.6587269,0.0684761
0.6412125,0.070001
0.6236675,0.0713855
0.6061094,0.0726455
0.5885498,0.0737977
0.5709941,0.0748534
0.5534427,0.0758106
0.5358941,0.0766657
0.5183466,0.0774151
0.5007983,0.078057
0.4832471,0.0785948
0.465691,0.0790327
0.4481278,0.0793748
0.4305544,0.079625
0.4129682,0.079789
0.3953689,0.0798731
0.3777597,0.0798836
0.3601475,0.0798272
0.3425429,0.0797098
0.324959,0.07952
0.3074061,0.0792214
0.289887,0.0787764
0.2724005,0.0781411
0.2549599,0.07726
0.2376083,0.0760723
0.2203754,0.0744853
0.2031882,0.07246
0.1859714,0.070064
0.168759,0.0673352
0.151612,0.0642815
0.134575,0.0608755
0.1176927,0.0570386
0.1010072,0.0526838
0.0845534,0.04773
0.0684186,0.0420846
0.0526897,0.0356288
0.0374029,0.0282915
0.0227355,0.0199855
0.0091603,0.0107761
0.0014187,0.0035942
0.0000146,0.0002952
0.0007276,-0.0017551
0.003086,-0.0030666
0.0064108,-0.003678
0.0142631,-0.0047361
0.0188701,-0.0052779
0.0204921,-0.0054425
0.0232959,-0.0056969
0.0258636,-0.0058981
0.02772,-0.0060258
0.0292063,-0.0061176
0.0310417,-0.006219
0.0325476,-0.0062927
0.0342028,-0.0063641
0.0357366,-0.0064219
0.039208,-0.0065243
0.0423208,-0.0065858
0.0483101,-0.0066345
0.0556328,-0.0065959
0.0632033,-0.0064806
0.0699553,-0.0063468
0.0771698,-0.0062065
0.0915795,-0.0060559
0.1011052,-0.006064
0.1087125,-0.0061166
0.1147994,-0.0061805
0.1196749,-0.0062417
0.1251985,-0.0063181
0.131974,-0.0064163
0.1408093,-0.0065401
0.1557265,-0.006695
0.1694028,-0.0067317
0.1790346,-0.0066975
0.1878326,-0.0066279
0.1971318,-0.0065195
0.2073083,-0.0063653
0.2192722,-0.0061449
0.2350676,-0.0058059
0.2541894,-0.0053523
0.2694178,-0.0049704
0.2825714,-0.004628
0.294556,-0.0043071
0.3057884,-0.0039998
0.3165094,-0.0037013
0.3268866,-0.0034085
0.3370596,-0.0031184
0.3471651,-0.0028279
0.3574117,-0.0025318
0.3682504,-0.0022174
0.3798825,-0.0018799
0.3924564,-0.0015159
0.4062679,-0.0011188
0.4215965,-0.0006832
0.4387503,-0.0002053
0.4560702,0.0002641
0.4723263,0.0006902
0.4880213,0.0010863
0.5035094,0.0014607
0.5191673,0.0018209
0.5352224,0.0021691
0.551809,0.0025044
0.5690123,0.0028236
0.586688,0.003119
0.6041115,0.003376
0.6212608,0.0035957
0.6382667,0.0037808
0.6552343,0.0039328
0.6722789,0.0040526
0.6895548,0.0041401
0.7071312,0.0041942
0.724812,0.0042126
0.7422725,0.0041955
0.7595258,0.0041438
0.7766174,0.0040585
0.7936126,0.0039398
0.8105962,0.0037873
0.8276779,0.0035998
0.8450644,0.0033734
0.8625064,0.0031104
0.8793816,0.0028215
0.8956046,0.0025119
0.9111517,0.0021859
0.9260357,0.001847
0.9402922,0.0014976
0.9539693,0.0011398
0.96712,0.0007748
0.9797978,0.0004035
0.9920541,0.0000264
1,-0.0002282
