x/c,y/c
1.00E+00,0.00E+00
9.93E-01,1.68E-03
9.83E-01,4.29E-03
9.72E-01,7.03E-03
9.60E-01,9.90E-03
9.48E-01,1.29E-02
9.34E-01,1.60E-02
9.20E-01,1.93E-02
9.06E-01,2.26E-02
8.91E-01,2.58E-02
8.76E-01,2.89E-02
8.62E-01,3.20E-02
8.47E-01,3.49E-02
8.33E-01,3.79E-02
8.18E-01,4.07E-02
8.03E-01,4.36E-02
7.88E-01,4.63E-02
7.73E-01,4.89E-02
7.58E-01,5.15E-02
7.43E-01,5.39E-02
7.28E-01,5.63E-02
7.13E-01,5.86E-02
6.97E-01,6.09E-02
6.82E-01,6.30E-02
6.67E-01,6.50E-02
6.52E-01,6.70E-02
6.37E-01,6.89E-02
6.22E-01,7.06E-02
6.07E-01,7.23E-02
5.91E-01,7.39E-02
5.76E-01,7.55E-02
5.61E-01,7.69E-02
5.46E-01,7.82E-02
5.30E-01,7.95E-02
5.15E-01,8.07E-02
5.00E-01,8.18E-02
4.85E-01,8.28E-02
4.69E-01,8.37E-02
4.54E-01,8.46E-02
4.39E-01,8.54E-02
4.24E-01,8.61E-02
4.08E-01,8.67E-02
3.93E-01,8.72E-02
3.78E-01,8.76E-02
3.63E-01,8.79E-02
3.47E-01,8.81E-02
3.32E-01,8.82E-02
3.17E-01,8.80E-02
3.01E-01,8.77E-02
2.86E-01,8.72E-02
2.71E-01,8.65E-02
2.56E-01,8.55E-02
2.40E-01,8.43E-02
2.25E-01,8.27E-02
2.10E-01,8.08E-02
1.95E-01,7.86E-02
1.80E-01,7.60E-02
1.65E-01,7.30E-02
1.50E-01,6.97E-02
1.35E-01,6.59E-02
1.21E-01,6.17E-02
1.06E-01,5.70E-02
9.19E-02,5.19E-02
7.78E-02,4.62E-02
6.39E-02,4.01E-02
5.02E-02,3.34E-02
3.69E-02,2.63E-02
2.42E-02,1.88E-02
1.26E-02,1.13E-02
3.82E-03,5.00E-03
9.04E-04,2.02E-03
3.33E-05,1.32E-04
9.38E-04,-1.41E-03
4.22E-03,-2.07E-03
1.27E-02,-1.55E-03
2.09E-02,-8.78E-04
0.0268122,-0.0003399
0.0321341,0.0001669
0.0372677,0.0006727
0.0424623,0.0011958
0.0479432,0.0017535
0.0540068,0.0023695
0.0611837,0.0030852
0.0707706,0.0039935
0.083627,0.0050716
0.0942697,0.0058306
0.104113,0.0064379
0.1141384,0.006975
0.1250922,0.0074823
0.1378841,0.0079897
0.1523186,0.0084806
0.165683,0.0088682
0.1786745,0.0091821
0.1919263,0.0094372
0.205881,0.009633
0.2207568,0.0097578
0.2355437,0.0097958
0.2499388,0.0097549
0.2642327,0.009643
0.2786292,0.0094634
0.2932683,0.009217
0.3082264,0.008904
0.323429,0.0085282
0.3384904,0.0081038
0.3534226,0.0076371
0.368304,0.0071314
0.3831954,0.0065899
0.3981422,0.0060158
0.4131751,0.0054125
0.4283095,0.0047842
0.4435425,0.0041359
0.4587814,0.0034766
0.4739655,0.0028133
0.489117,0.0021493
0.5042551,0.0014881
0.5193954,0.000833
0.5345499,0.0001877
0.5497268,-0.0004439
0.5649307,-0.0010578
0.5801623,-0.0016495
0.5954187,-0.0022146
0.6106928,-0.0027486
0.625974,-0.0032468
0.6412492,-0.0037061
0.6565098,-0.0041252
0.6717531,-0.0045031
0.6869821,-0.0048388
0.7022055,-0.0051316
0.7174377,-0.0053805
0.7326983,-0.0055845
0.7479664,-0.005742
0.7631653,-0.0058505
0.7782903,-0.0059082
0.7933584,-0.0059137
0.8084043,-0.0058652
0.8234804,-0.0057603
0.8386565,-0.0055953
0.8538465,-0.0053687
0.8687531,-0.0050856
0.8832898,-0.0047518
0.8973997,-0.0043731
0.9110458,-0.0039557
0.9242082,-0.0035053
0.9368808,-0.0030275
0.9490682,-0.0025269
0.9607824,-0.0020079
0.9720409,-0.0014741
0.9828643,-0.0009286
0.9932746,-0.0003739
1,0
