Alpha,Cl,Cd,Cm
-17.0,-0.37793727155899304,0.18511716342376688,-0.009037406222096091
-16.0,-0.3590981976150003,0.17599830753482043,-0.012789305010385622
-15.0,-0.4597789537898392,0.1798471362298167,-0.007618407263007653
-14.0,-0.43233201761064755,0.16573356745829285,-0.010267585978915458
-13.0,-0.40882959849704187,0.15369829138184576,-0.013575229669461005
-12.0,-0.3877235417318752,0.14188472703728885,-0.01643107156465168
-11.0,-0.3695666379097355,0.13030877035324054,-0.018603642962412424
-10.0,-0.35528498520029655,0.11909514663213162,-0.019903087494316456
-9.0,-0.34799067189750527,0.1086830661925812,-0.019632966259177508
-8.0,-0.3551106213961798,0.09977651185883793,-0.016300110439655183
-7.0,-0.34043794953153195,0.0887498935485775,-0.021323538682648878
-6.0,-0.2507449295469791,0.07189995021773939,-0.04861333856648778
-5.0,-0.13094927811776091,0.05522023512841163,-0.07121625867992022
-4.0,-0.013411940235147976,0.03653132892254204,-0.08568325117321748
-3.0,0.1069833529648613,0.024730544496833037,-0.09047410339586817
-2.0,0.2192508171458314,0.01657738401070156,-0.08793941624236146
0.0,0.39029258115339116,0.012477305715584839,-0.07370759222805581
1.0,0.48202489480602184,0.010229585292587901,-0.07000282575845865
2.0,0.6202496030244067,0.010028971576100904,-0.07617316641945444
3.0,0.7194081597049437,0.010782680727197569,-0.07401613742334982
4.0,0.8207983001092277,0.011577936099940405,-0.0724062929646085
5.0,0.9161884826408807,0.011664866206046218,-0.06958924574950699
6.0,0.9956789337028341,0.01423180693056489,-0.06470711008311363
7.0,1.0604323680340835,0.01884853764383207,-0.05544026995353805
8.0,1.110823523168749,0.023452911520873945,-0.04497813850357733
9.0,1.1711982638617224,0.0337499666490408,-0.035924493540711686
10.0,1.1847227188249192,0.05481206132578524,-0.025702981783287827
11.0,1.1361697622913849,0.06582523251854953,-0.010926836546164966
12.0,1.0689043691931859,0.08030581583782262,-0.008029754663940685
13.0,1.0039446476111002,0.10228335679006825,-0.02059901181910766
14.0,0.9515369342975399,0.12960617745728698,-0.0390729783408605
15.0,0.9211903994317182,0.15866865794756416,-0.0572070389666778
16.0,0.9235730743358496,0.18449188764481977,-0.07026374814964816
17.0,0.941150919846772,0.20464100109719352,-0.07989360043044684
18.0,0.9636891759820346,0.22235691074537448,-0.08872536741966168
19.0,0.9890109419645989,0.23858504751198648,-0.09723681641325767
20.0,1.0162986160670273,0.25345866037102793,-0.10565710603368904
